capability,role,overall,knowledge_decision,representation_decision,evidence_decision,interception_decision,priority,terminal_behavior
caller_contract,FACT,MODIFY,MODIFY,MODIFY,MODIFY,BUILD,P2,"Configuration-bound sound overapproximation; typed callers replace only when certified, otherwise augment or pass through"
covering_red,FACT,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P1,"Execution-specific structured verification augments complete native diagnostics"
def_partition,FACT,MODIFY,MODIFY,MODIFY,MODIFY,BUILD,P2,"Typed definition partition returns all qualified candidates and replaces only with complete certified scope"
localization,FACT,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P2,"Anchored approximate evidence remains advisory and can narrow but never prove absence"
newfile_precedent,FACT,MODIFY,KEEP,MODIFY,MODIFY,KEEP,P3,"Provenance-rich advisory evidence only; no raw replacement"
obligations,FACT,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P2,"Stable task-bound obligation deltas delivered at task start, verification change, and submit window"
recovery,FACT,MODIFY,MODIFY,MODIFY,MODIFY,MODIFY,P2,"Exact reuse only for identical normalized action and failure identity; broader guesses removed"
signature_delta,FACT,MODIFY,MODIFY,MODIFY,MODIFY,MODIFY,P1,"Exact ordered patch plus sound affected-symbol and caller augmentation immediately after edit"
submit_refusal,FACT,MODIFY,KEEP,MODIFY,MODIFY,BUILD,P3,"Narrow suppression only for fresh closed-scope registered blockers with raw rollback"
syntax_result,FACT,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P1,"Immediate per-file revision-bound syntax evidence with native diagnostics"
GT_CHANGE_SURFACE,CAP_OWNER,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P3,"Byte-owner lineage attached only to new-file precedent delivery"
GT_PATCH_DELTA,CAP_OWNER,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P1,"Byte-owner lineage attached to the atomic post-edit transaction"
GT_LOC_RESLOT,CAP_OWNER,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P2,"Byte-owner lineage attached to task-start or explicitly requested localization"
GT_SS_SUBMIT_RED,CAP_OWNER,MODIFY,KEEP,MODIFY,MODIFY,BUILD,P3,"Byte-owner lineage attached to a certified submit decision"
GT_EDIT_CHECK,CAP_OWNER,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P1,"Byte-owner lineage attached to immediate syntax evidence"
GT_HYPOTHESIS,CAP_OWNER,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P2,"Byte-owner lineage attached only to exact repeated-failure evidence"
GT_CERT_DELIVERY,CAP_OWNER,MODIFY,KEEP,MODIFY,MODIFY,MODIFY,P0,"Exact final-payload lineage joined at the provider request and response boundary"
