todo,decision,status,confidence,evidence,missing_proof
FS-001,BUILD,COMPLETE,high,"D:/Groundtruth/src/groundtruth/runtime/observation_compiler.py; D:/Groundtruth/tests/runtime/test_observation_compiler_contracts_20260801.py; 14/14 contract tests and 120/120 focused core tests passed","none for the implemented contract scope"
FS-002,BUILD,COMPLETE,high,"gt_engine/runtime_observation.py is the content-addressed snapshot authority and is wired at every action boundary; final harness authority receipt: 129 collected, 128 passed, 1 environment-conditional skip","none for the implemented repository snapshot and revision-binding scope"
FS-003,MODIFY,COMPLETE,high,"GroundTruth registry-derived manifest contains exactly 30 sorted collision-free language identities and passed Codespaces specs/parity plus full tagged Go tests; source manifest SHA-256 53afc44596f72668e11b5511f47424c5911f2b24682730bfb90b58a3d2297631 is generated into gt_engine/generated_typed_capabilities.py and consumed as Mini-SWE's default ConfigurationBinding; harness focused receipt 28/28 plus generator --check passed","none for the generated language-registry authority and harness-consumption scope"
FS-004,BUILD,COMPLETE,high,"gt_engine/miniswe_typed_actions.py and tests/test_miniswe_typed_actions.py implement the seven-kind native tool while retaining Bash; harness receipt: 524 collected, 521 passed, 3 skipped","none for the implemented typed-tool scope"
FS-005,MODIFY,COMPLETE,high,"final provider request/response/next-action lineage is implemented in gt_engine/miniswe_receipt.py, gt_engine/event_journal.py, and provider-boundary wiring; final harness authority receipt: 129 collected, 128 passed, 1 environment-conditional skip","none for the implemented provider-bound delivery scope"
FS-006,BUILD,COMPLETE,high,"GTSession implements global off/shadow/advisory/assistive/enforced control, independent capability modes, kill switches, GT-off restoration, and fail-open behavior; covered by the final harness authority receipt","none for the implemented control and rollback-switch scope"
FS-007,MODIFY,COMPLETE,high,"Codespace receipt at GroundTruth 7fcb019104f0e43311e2db009950e60014bc1f4b: CGO_ENABLED=1 go test -tags sqlite_fts5 ./... passed across all packages; graph revision, atomic publication, binary hash, and fail-open refresh are exercised by the runtime cluster","none for the implemented graph freshness and externally compiled Go scope"
FS-008,BUILD,COMPLETE,high,"D:/Groundtruth/src/groundtruth/runtime/deterministic_queries.py exact_literal_search; producer receipts 132/132 regression and 9/9 focused tests passed","none for explicit-scope exact search; unsupported or unreadable scope remains mechanically incomplete"
FS-009,MODIFY,COMPLETE,high,"gt_engine/runtime_observation.py captures ordered multi-file pre/post transactions including add/delete/rename candidates, modes, symlinks, partial snapshots, exact blobs, and canonical transaction identity; runtime wiring and tests are in the final harness authority receipt","none for the implemented atomic transaction scope"
FS-010,MODIFY,COMPLETE,high,"compile_transaction_artifacts is wired immediately after each action transaction and emits one post-revision-bound syntax row per changed file: Python exact, deletion not_applicable, and every other file explicit unsupported; focused closure receipt 66/66 and final Codespaces harness exit 0","none for the written per-changed-file syntax receipt or explicit-unsupported criterion"
FS-011,MODIFY,COMPLETE,high,"transaction artifacts retain untruncated unified patches when round-trippable plus exact postimage bytes/hashes for create/modify/delete/binary reconstruction; Python signature deltas are exact; callers are labeled graph_recorded and never complete; focused closure receipt 66/66","none for the written exact-postimage reconstruction and honest caller-coverage criterion"
FS-012,MODIFY,COMPLETE,high,"execution-specific verification artifacts retain raw observations and bind command, outcome, revision, transaction, and delivery lineage; parsing failure remains raw-preserving; covered by the final harness authority receipt","none for the implemented structured verification augmentation scope"
FS-013,BUILD,COMPLETE,high,"post-edit invalidation rejects stale graph evidence, refresh publishes atomically, failures remain fail-open, and the externally compiled full Go suite plus final harness authority receipt pass","none for the implemented invalidate-refresh-atomic-fallback scope"
FS-014,MODIFY,COMPLETE,high,"all definition/reference/caller language-operation pairs are terminally removed; generated public typed schema omits all three kinds and runtime certification rejects manual construction; typed contract passed 16/16","none for the written certified-pair-or-absent-schema criterion"
FS-015,BUILD,COMPLETE,high,"GroundTruth live-registry authority classifies exact=35/execution_specific=30/removed=145; generated harness schema exposes only literal/syntax/verification; syntax extension gates and all-language fixtures pass","none for terminal certification scope; project-level immutable workflow artifact remains FS-026"
FS-016,MODIFY,COMPLETE,high,"localization remains advisory with stable path:line anchors, deterministic scores/reasons/ties, dirty-file coverage, quiet no-match behavior, unavailable-graph fallback, and an existing-stale-graph fixture; task_start_localization gates graph lookup on graph_fresh and records graph_localization_stale; Codespaces cell 620 passed 27/27 plus lint","none for the written advisory anchor/score and tie/stale/no-match fixture criterion"
FS-017,MODIFY,COMPLETE,high,"GroundTruth terminal_evidence binds obligation IDs to exact task byte spans and parser version, wires an episode-local session, emits deltas only, and invalidates by revision; included in the 67/67 widened artifact suite","none for the implemented obligation carrier and session seam scope"
FS-018,MODIFY,COMPLETE,high,"GroundTruth terminal_evidence uses exact normalized action/cwd/environment/revision/outcome/diagnostic failure identity, wires it into EpisodeState, and never retrieves similar-only failures; included in the 67/67 widened artifact suite","none for the implemented exact failure-recovery scope"
FS-019,BUILD,COMPLETE,high,"GroundTruth detect_build_configuration_slices invokes repository adapters on demand and returns deterministic sound-overapprox configuration slices with explicit unresolved targets, membership, generated inputs, and omissions; covered by widened artifact tests","none for the deliberately honest on-demand build-adapter scope; unresolved systems remain explicit rather than falsely exact"
FS-020,MODIFY,COMPLETE,high,"same-action new-file destination evidence is advisory, revision- and transaction-bound, path-specific, reasoned, sibling-source inspectable, raw-output preserving, quiet without precedent, excludes exact renames, executes no hidden probe, and only augments; focused closure receipt 66/66","none for the written provenance-rich path-specific inspectable advisory-only criterion"
FS-021,BUILD,COMPLETE,high,"GroundTruth ClosedBlockerRegistry permits only fresh exact closed-scope blockers in enforce mode; the provider boundary persists a zero-byte suppression receipt and fails open if receipt persistence fails; included in the 67/67 widened artifact suite","none for the implemented closed-blocker suppression scope"
FS-022,REMOVE,REMOVED,high,"AST import closure from Mini-SWE runner spans 66 reachable files with zero forbidden findings; public typed schema omits comparison controls; legacy implementations remain isolated","none for default/advertised/current-runtime removal scope"
FS-023,BUILD,COMPLETE,high,"GitHub Actions run 30729901088 passed every provider-free closeout step at harness commit e87cada097f55fe5df203c339148c65fff75c36a against GroundTruth commit 61cfdbce2c42751c11028e46e863b3231f0bb70e; receipts/fs023_provenance.json cross-binds the run, workflow, terminal offline receipt, artifact ID 8827623572, and API digest","none for the provider-free immutable workflow criterion; provider-bound efficacy remains FS-024"
FS-024,BUILD,COMPLETE,high,"owner-approved one-run matched witness compares GT advisory trial 4caf8b43-3a4a-4387-8a14-29528cb67e79 with frozen GT-off trial 70179645-7ff8-4142-9354-a0613b6c04d0 on fix-code-vulnerability; task checksum/model/fingerprint/Mini-SWE 2.2.8/budgets match; reward ties 1.0; calls 33->25; actions 33->37; pre-edit exploration 19->25; raw bytes 34696->43009","none under the owner's one-run-vs-local-baseline completion override; this is descriptive only and supports no general efficacy or exploration-reduction claim"
FS-025,KEEP,COMPLETE,high,"the one-task witness did not regress reward but increased actions, pre-edit exploration, and raw bytes; release decision keeps stock Mini-SWE as the default and GroundTruth as explicit opt-in behind existing controls and rollback switches","none for the conservative default decision; broader promotion would require new evidence outside this closed project"
FS-026,BUILD,COMPLETE,high,"all 26 FS rows are terminal; FS-023 freezes the provider-free workflow and artifacts; FS-024 freezes the matched one-task descriptive analysis; FS-025 records KEEP baseline default/GT opt-in; inventories and runbooks remain the bounded final attestation","none under the owner's bounded one-task descriptive closeout; no benchmark-wide solve-rate, non-inferiority, efficacy, or exploration-reduction claim is made"
